contract,sky,date
0x555230eca835a808518ec3ea3082f05502bab850,37588892.830487125,2025-06-12
0x4bed44a9839b8778f69bb6a6d9f843414377ae90,26345691.686647385,2025-06-12
0xe01684b17df0abbdaf97839277b194be4e1a7e79,23763799.91891482,2025-06-12
0xff7615e05ec1c8d5ded24ab50bf74432666bee2f,5938385.236413033,2025-06-12
0xead02d18529c10eedd995f760fdf5e380ddf3da6,3325338.3516878346,2025-06-12
0xd260762e442ea1893e5ed5e7d28984e19aafbf5e,334162.77911151556,2025-06-12
0x5d4a96afadb5505a8ff21ddeca2baf3a63301396,0.0,2025-06-12
0x2c89024c13a80bc1b662a3db990524652c15221c,0.0,2025-06-12
0x173a1c04b79ed9266721c1154daa29addc0b9558,2489887910.653767,2025-06-11
0x0f23de72e1581857eacd6308aebb69cf3a49cc86,2101100415.2149506,2025-06-11
0xfc48fbca739079aab08216c4d5e506b96593753d,950976454.3227117,2025-06-11
0x550e5ec00b9d26a3517ce772ddfe73e8ed1672ad,380522433.504576,2025-06-11
0x555230eca835a808518ec3ea3082f05502bab850,37588892.830487125,2025-06-11
0x4bed44a9839b8778f69bb6a6d9f843414377ae90,29287328.997695304,2025-06-11
0xe01684b17df0abbdaf97839277b194be4e1a7e79,23616261.66243616,2025-06-11
0xff7615e05ec1c8d5ded24ab50bf74432666bee2f,4651162.63217348,2025-06-11
0xead02d18529c10eedd995f760fdf5e380ddf3da6,3276143.2623278345,2025-06-11
0xd260762e442ea1893e5ed5e7d28984e19aafbf5e,334162.77911151556,2025-06-11
0x5d4a96afadb5505a8ff21ddeca2baf3a63301396,0.0,2025-06-11
0x2c89024c13a80bc1b662a3db990524652c15221c,0.0,2025-06-11
0x173a1c04b79ed9266721c1154daa29addc0b9558,2489995448.243541,2025-06-10
0x0f23de72e1581857eacd6308aebb69cf3a49cc86,2101080777.464195,2025-06-10
0xfc48fbca739079aab08216c4d5e506b96593753d,950882238.9033462,2025-06-10
0x550e5ec00b9d26a3517ce772ddfe73e8ed1672ad,380472359.483856,2025-06-10
0x4bed44a9839b8778f69bb6a6d9f843414377ae90,29230541.61986686,2025-06-10
0xe01684b17df0abbdaf97839277b194be4e1a7e79,22744824.70383986,2025-06-10
0x555230eca835a808518ec3ea3082f05502bab850,15980521.049310047,2025-06-10
0xff7615e05ec1c8d5ded24ab50bf74432666bee2f,4530802.881053479,2025-06-10
0xead02d18529c10eedd995f760fdf5e380ddf3da6,3276143.2623278345,2025-06-10
0xd260762e442ea1893e5ed5e7d28984e19aafbf5e,327499.77911151556,2025-06-10
0x5d4a96afadb5505a8ff21ddeca2baf3a63301396,0.0,2025-06-10
0x2c89024c13a80bc1b662a3db990524652c15221c,0.0,2025-06-10
0x173a1c04b79ed9266721c1154daa29addc0b9558,2482018563.966233,2025-06-09
0x0f23de72e1581857eacd6308aebb69cf3a49cc86,2042517722.8151588,2025-06-09
0xfc48fbca739079aab08216c4d5e506b96593753d,946235435.8941354,2025-06-09
0x550e5ec00b9d26a3517ce772ddfe73e8ed1672ad,380472092.6695014,2025-06-09
0x4bed44a9839b8778f69bb6a6d9f843414377ae90,29630541.61986686,2025-06-09
0xe01684b17df0abbdaf97839277b194be4e1a7e79,22721112.018081315,2025-06-09
0x555230eca835a808518ec3ea3082f05502bab850,15980521.049310047,2025-06-09
0xff7615e05ec1c8d5ded24ab50bf74432666bee2f,3867257.2451087185,2025-06-09
0xead02d18529c10eedd995f760fdf5e380ddf3da6,3276143.2623278345,2025-06-09
0xd260762e442ea1893e5ed5e7d28984e19aafbf5e,327499.77911151556,2025-06-09
0x5d4a96afadb5505a8ff21ddeca2baf3a63301396,0.0,2025-06-09
0x2c89024c13a80bc1b662a3db990524652c15221c,0.0,2025-06-09
0x173a1c04b79ed9266721c1154daa29addc0b9558,2481682518.4479737,2025-06-08
0x0f23de72e1581857eacd6308aebb69cf3a49cc86,2042507930.890359,2025-06-08
0xfc48fbca739079aab08216c4d5e506b96593753d,946178038.7973973,2025-06-08
0x550e5ec00b9d26a3517ce772ddfe73e8ed1672ad,380265183.75417876,2025-06-08
0x4bed44a9839b8778f69bb6a6d9f843414377ae90,29628541.61986686,2025-06-08
0xe01684b17df0abbdaf97839277b194be4e1a7e79,22682361.712595258,2025-06-08
0x555230eca835a808518ec3ea3082f05502bab850,15756521.049310047,2025-06-08
0xff7615e05ec1c8d5ded24ab50bf74432666bee2f,3852708.945586159,2025-06-08
0xead02d18529c10eedd995f760fdf5e380ddf3da6,3276143.2623278345,2025-06-08
0xd260762e442ea1893e5ed5e7d28984e19aafbf5e,327499.77911151556,2025-06-08
0x5d4a96afadb5505a8ff21ddeca2baf3a63301396,0.0,2025-06-08
0x2c89024c13a80bc1b662a3db990524652c15221c,0.0,2025-06-08
0x173a1c04b79ed9266721c1154daa29addc0b9558,2467943458.107106,2025-06-07
0x0f23de72e1581857eacd6308aebb69cf3a49cc86,2043852127.7344968,2025-06-07
0xfc48fbca739079aab08216c4d5e506b96593753d,946104127.5094078,2025-06-07
0x550e5ec00b9d26a3517ce772ddfe73e8ed1672ad,380292364.20432466,2025-06-07
0x4bed44a9839b8778f69bb6a6d9f843414377ae90,29617880.66344124,2025-06-07
0xe01684b17df0abbdaf97839277b194be4e1a7e79,22618261.712595258,2025-06-07
0x555230eca835a808518ec3ea3082f05502bab850,15756521.049310047,2025-06-07
